epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1.0,0.6405273308072771,0.6831293147802353,0.7696428571428572,0.776875,0.0001
2.0,0.35697988033294675,0.5613404870033264,0.8719642857142857,0.798125,0.0001
3.0,0.27244723771299634,0.9153056160360574,0.9033928571428571,0.734375,0.0001
4.0,0.2315867051907948,0.6303593570739031,0.91625,0.816875,0.0001
5.0,0.18553895805563245,0.5514654725044966,0.9348214285714286,0.856875,0.0001
6.0,0.15696438670158386,0.47068639054894446,0.9448214285714286,0.881875,0.0001
7.0,0.14396438441106252,0.7979330679774285,0.95,0.7875,0.0001
8.0,0.11547033554741315,0.43998256340622904,0.9619642857142857,0.890625,0.0001
9.0,0.09361422315239906,0.41763565607368947,0.9676785714285714,0.90875,0.0001
10.0,0.09408689200878144,0.44162414483726026,0.9685714285714285,0.91,0.0001
11.0,0.08381871346916471,0.4765197767317295,0.9721428571428572,0.895,0.0001
12.0,0.07640691752944674,0.4998730369657278,0.9746428571428571,0.893125,0.0001
13.0,0.06166052264826638,0.3472518365085125,0.9814285714285714,0.925,0.0001
14.0,0.07606117314526013,0.5966495867073536,0.9732142857142857,0.889375,0.0001
15.0,0.060075103236096244,0.3795351155102253,0.9821428571428571,0.934375,0.0001
16.0,0.03735183602997235,0.48096649535000324,0.99,0.9325,0.0001
17.0,0.051083010349954876,0.6385593216121197,0.98375,0.904375,0.0001
18.0,0.04747522956558636,0.46197799518704413,0.985,0.901875,0.0001
19.0,0.042283748196704045,0.46423181757330895,0.9876785714285714,0.908125,0.0001
20.0,0.04107838364584105,0.400639092028141,0.9873214285714286,0.938125,0.0001
