class_name,threshold,auroc,f1,precision,recall
Atelectasis,0.5,0.6658492164652856,0.2583810302534751,0.15863453815261044,0.6960352422907489
Cardiomegaly,0.5,0.6529106220503726,0.07242990654205607,0.038605230386052306,0.5849056603773585
Effusion,0.5,0.7336760894460852,0.3267233238904627,0.2099514563106796,0.7361702127659574
Infiltration,0.5,0.6294944105691057,0.3441048034934498,0.25095541401273885,0.5472222222222223
Mass,0.5,0.5806592576303488,0.10673443456162643,0.06051873198847262,0.45161290322580644
Nodule,0.5,0.5426389862599498,0.10640216411181244,0.05911823647294589,0.5315315315315315
Pneumonia,0.5,0.6094614605252904,0.0364963503649635,0.018844221105527637,0.5769230769230769
Pneumothorax,0.5,0.7009687004866056,0.14386459802538787,0.08279220779220779,0.5483870967741935
Consolidation,0.5,0.6856039382053951,0.12226066897347174,0.06717363751584284,0.6794871794871795
Edema,0.5,0.7627408215194473,0.07580174927113703,0.039938556067588324,0.7428571428571429
Emphysema,0.5,0.6600515589279634,0.060790273556231005,0.031746031746031744,0.7142857142857143
Fibrosis,0.5,0.6679000682307249,0.044543429844097995,0.023014959723820484,0.6896551724137931
Pleural_Thickening,0.5,0.6418542496230282,0.0903954802259887,0.04915514592933948,0.5614035087719298
Hernia,0.5,0.6136325643597459,0.00516795865633075,0.0026041666666666665,0.3333333333333333
