class_name,f1,precision,recall
Atelectasis,0.3132033008252063,0.2012775702060986,0.7055344317701732
Cardiomegaly,0.18044797990370526,0.10218112849691798,0.7710196779964222
Effusion,0.43622808785009065,0.3011964385086255,0.7907231555880204
Infiltration,0.37816641832013176,0.2741018644838563,0.6096080910240202
Mass,0.19535732916014606,0.11466625842008574,0.659330985915493
Nodule,0.15611981749652848,0.08908761602897894,0.6306089743589743
Pneumonia,0.042632066728452274,0.021931915705158768,0.759075907590759
Pneumothorax,0.24129784217987085,0.14450103754008678,0.7309160305343512
Consolidation,0.14642717688402968,0.08034279592929834,0.8250825082508251
Edema,0.1099236641221374,0.05856255545696539,0.8939051918735892
Emphysema,0.15105162523900573,0.086315214422289,0.6042065009560229
Fibrosis,0.06775510204081632,0.03552575260379512,0.7302052785923754
Pleural_Thickening,0.13549935388591472,0.0771494639478663,0.556060606060606
Hernia,0.02066340402392605,0.010476978218913703,0.7450980392156863
