class_name,threshold,auroc,f1,precision,recall
Atelectasis,0.5,0.7766982393377017,0.3436887191660646,0.2273968860966949,0.7034220532319392
Cardiomegaly,0.5,0.904109949368114,0.24455825864276567,0.14892787524366471,0.6833631484794276
Effusion,0.5,0.8624102759563274,0.4699681563632371,0.3360025121683153,0.7815924032140248
Infiltration,0.5,0.6900167766686501,0.39405696981167787,0.31488203266787657,0.5264222503160556
Mass,0.5,0.8068000230573595,0.24912222036448756,0.15376676986584106,0.6558098591549296
Nodule,0.5,0.7042519447814652,0.18483283500951345,0.11129296235679215,0.5448717948717948
Pneumonia,0.5,0.7193010449727221,0.06405490420360309,0.03506574827802129,0.3696369636963696
Pneumothorax,0.5,0.8724522641858459,0.2821952544828835,0.17415604739548401,0.7433206106870229
Consolidation,0.5,0.7834092774836396,0.17439754840507035,0.09984051036682616,0.6886688668866887
Edema,0.5,0.8960914633538939,0.19186219186219186,0.11046511627906977,0.7291196388261851
Emphysema,0.5,0.8596874707258624,0.19309944911568572,0.11380724538619276,0.6367112810707457
Fibrosis,0.5,0.7897098562966192,0.10654205607476636,0.059602649006622516,0.501466275659824
Pleural_Thickening,0.5,0.7733998109193386,0.1415929203539823,0.08016032064128256,0.6060606060606061
Hernia,0.5,0.9266736954469805,0.24880382775119617,0.16455696202531644,0.5098039215686274
